"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","04-Oct-2024","925.70","930.00","949.20","920.00","933.55","930.75","934.22","1,91,87,758","17,92,56,20,904.35","4,64,043","79,02,110","41.18"
"TATAMOTORS","EQ","07-Oct-2024","930.75","942.00","944.45","915.00","928.30","927.85","929.05","1,17,72,546","10,93,72,92,703.65","3,49,818","48,86,267","41.51"
"TATAMOTORS","EQ","08-Oct-2024","927.85","916.00","924.80","893.85","924.80","919.80","909.63","2,11,77,886","19,26,40,94,909.95","5,81,422","1,02,30,363","48.31"
"TATAMOTORS","EQ","09-Oct-2024","919.80","926.80","948.45","925.50","939.00","939.15","941.16","1,15,57,737","10,87,76,73,698.75","3,17,263","45,98,960","39.79"
"TATAMOTORS","EQ","10-Oct-2024","939.15","933.75","943.60","912.35","930.60","928.50","932.19","1,32,49,851","12,35,14,00,535.90","3,50,137","44,89,449","33.88"
"TATAMOTORS","EQ","11-Oct-2024","928.50","932.00","937.00","928.50","931.40","930.70","932.01","44,59,529","4,15,63,04,745.40","1,51,010","13,53,960","30.36"
"TATAMOTORS","EQ","14-Oct-2024","930.70","930.00","940.00","925.35","929.00","928.25","932.68","57,40,649","5,35,42,15,635.85","2,07,829","21,21,325","36.95"
"TATAMOTORS","EQ","15-Oct-2024","928.25","932.95","935.35","913.00","918.90","917.30","920.38","90,58,919","8,33,76,24,875.65","2,81,499","51,65,401","57.02"
"TATAMOTORS","EQ","16-Oct-2024","917.30","917.05","923.00","900.00","906.15","907.45","909.40","1,02,98,258","9,36,52,10,713.50","3,70,552","46,84,459","45.49"
"TATAMOTORS","EQ","17-Oct-2024","907.45","914.95","914.95","890.05","894.30","891.60","899.88","1,38,64,583","12,47,64,79,509.40","5,52,996","70,34,111","50.73"
"TATAMOTORS","EQ","18-Oct-2024","891.60","894.30","917.70","886.80","911.00","910.15","906.85","1,15,27,914","10,45,40,74,347.95","3,00,927","32,45,025","28.15"
"TATAMOTORS","EQ","21-Oct-2024","910.15","912.05","917.65","898.10","902.75","903.30","905.03","73,90,557","6,68,86,54,541.95","2,04,274","27,71,584","37.50"
"TATAMOTORS","EQ","22-Oct-2024","903.30","905.00","906.10","875.25","881.50","879.50","886.02","1,36,17,490","12,06,54,21,624.50","5,32,014","63,29,961","46.48"
"TATAMOTORS","EQ","23-Oct-2024","879.50","879.00","885.60","863.30","876.00","877.65","876.37","1,05,53,771","9,24,89,88,266.30","3,56,148","43,30,997","41.04"
"TATAMOTORS","EQ","24-Oct-2024","877.65","875.25","890.00","875.25","880.50","880.00","882.70","72,33,484","6,38,50,16,045.35","2,86,907","34,54,875","47.76"
"TATAMOTORS","EQ","25-Oct-2024","880.00","883.90","885.75","857.30","864.05","864.30","865.79","1,08,73,022","9,41,37,79,457.85","3,79,450","55,22,352","50.79"
"TATAMOTORS","EQ","28-Oct-2024","864.30","867.85","886.75","860.20","881.90","878.45","876.38","71,06,045","6,22,75,76,352.30","2,03,043","26,88,124","37.83"
"TATAMOTORS","EQ","29-Oct-2024","878.45","880.25","882.50","825.70","844.00","842.75","843.06","2,68,18,871","22,60,98,93,023.45","7,26,757","1,11,61,546","41.62"
"TATAMOTORS","EQ","30-Oct-2024","842.75","846.00","853.60","838.05","840.00","840.20","845.85","1,29,33,218","10,93,96,24,878.40","3,28,464","56,90,117","44.00"
"TATAMOTORS","EQ","31-Oct-2024","840.20","843.85","843.85","831.85","835.25","834.05","835.59","1,19,04,413","9,94,71,96,716.70","2,87,659","75,58,032","63.49"
"TATAMOTORS","EQ","01-Nov-2024","834.05","847.95","847.95","840.00","843.10","843.45","844.54","29,00,548","2,44,96,18,401.30","1,34,792","13,61,941","46.95"
"TATAMOTORS","EQ","04-Nov-2024","843.45","840.00","844.45","814.50","824.20","824.10","822.77","1,55,14,419","12,76,47,67,992.30","4,67,713","75,35,132","48.57"
"TATAMOTORS","EQ","05-Nov-2024","824.10","821.50","843.60","820.40","835.60","835.65","832.40","1,02,15,249","8,50,31,92,983.75","2,55,937","32,65,516","31.97"
"TATAMOTORS","EQ","06-Nov-2024","835.65","843.90","843.90","826.00","840.50","839.70","836.11","1,05,79,596","8,84,57,13,534.70","2,73,406","39,45,009","37.29"
"TATAMOTORS","EQ","07-Nov-2024","839.70","841.00","842.75","817.30","821.80","819.75","826.73","1,32,37,161","10,94,35,75,455.95","3,81,746","58,37,551","44.10"
"TATAMOTORS","EQ","08-Nov-2024","819.75","821.95","822.00","801.10","803.55","805.45","807.29","1,60,72,692","12,97,52,78,301.60","4,78,152","72,15,325","44.89"
"TATAMOTORS","EQ","11-Nov-2024","805.45","801.00","831.45","792.00","805.00","804.70","816.67","2,75,87,619","22,52,99,43,363.60","5,75,463","77,52,120","28.10"
"TATAMOTORS","EQ","12-Nov-2024","804.70","806.00","813.10","783.05","784.75","784.85","792.60","1,65,26,921","13,09,92,59,115.85","5,94,079","75,32,279","45.58"
"TATAMOTORS","EQ","13-Nov-2024","784.85","787.00","792.65","775.55","786.85","786.25","785.62","1,46,74,022","11,52,82,10,756.95","3,91,032","47,39,329","32.30"
"TATAMOTORS","EQ","14-Nov-2024","786.25","786.60","792.00","772.00","776.00","774.30","779.43","1,17,40,909","9,15,12,58,844.20","3,13,693","43,51,595","37.06"
"TATAMOTORS","EQ","18-Nov-2024","774.30","778.00","781.75","759.20","772.50","771.90","770.60","1,70,53,446","13,14,13,59,276.30","4,19,815","73,05,640","42.84"
"TATAMOTORS","EQ","19-Nov-2024","771.90","771.90","799.90","771.90","781.95","783.20","790.20","1,40,12,014","11,07,23,36,524.20","2,79,101","43,26,989","30.88"
"TATAMOTORS","EQ","21-Nov-2024","783.20","784.95","785.95","766.25","774.00","773.85","775.95","1,41,94,678","11,01,43,64,694.60","3,19,937","52,87,717","37.25"
"TATAMOTORS","EQ","22-Nov-2024","773.85","775.00","794.00","775.00","794.00","791.00","784.59","1,45,35,112","11,40,41,08,458.45","3,00,768","67,60,288","46.51"
"TATAMOTORS","EQ","25-Nov-2024","791.00","808.05","810.20","793.65","797.40","796.60","799.70","1,51,94,167","12,15,07,25,002.25","2,63,327","87,20,282","57.39"
"TATAMOTORS","EQ","26-Nov-2024","796.60","797.15","801.80","780.15","784.20","783.00","789.35","1,03,10,838","8,13,88,74,098.80","2,27,912","48,15,337","46.70"
"TATAMOTORS","EQ","27-Nov-2024","783.00","785.05","791.90","779.10","785.20","783.95","785.34","1,00,14,685","7,86,49,75,782.45","2,00,451","41,82,645","41.77"
"TATAMOTORS","EQ","28-Nov-2024","783.95","783.00","792.55","778.00","781.50","779.45","784.58","1,09,39,142","8,58,26,55,140.35","2,72,953","43,21,511","39.51"
"TATAMOTORS","EQ","29-Nov-2024","779.45","779.50","789.40","777.05","787.35","786.45","784.67","1,03,58,590","8,12,80,34,685.40","2,15,035","50,89,290","49.13"
"TATAMOTORS","EQ","02-Dec-2024","786.45","787.30","796.75","785.00","790.15","790.05","790.40","84,25,826","6,65,97,78,913.05","2,17,075","27,99,178","33.22"
"TATAMOTORS","EQ","03-Dec-2024","790.05","795.00","806.00","790.00","800.10","801.25","798.05","98,74,135","7,88,00,14,721.85","2,27,850","44,06,270","44.62"
"TATAMOTORS","EQ","04-Dec-2024","801.25","805.00","806.00","784.05","788.20","788.10","791.95","1,23,92,259","9,81,41,07,207.20","3,80,565","60,31,315","48.67"
"TATAMOTORS","EQ","05-Dec-2024","788.10","793.00","797.50","781.00","793.00","792.55","789.55","1,21,69,428","9,60,83,76,767.00","2,65,144","45,75,343","37.60"
"TATAMOTORS","EQ","06-Dec-2024","792.55","793.00","818.85","785.30","818.00","816.80","802.57","1,97,16,910","15,82,41,15,624.45","3,47,712","88,51,215","44.89"
"TATAMOTORS","EQ","09-Dec-2024","816.80","816.80","820.35","797.00","799.70","798.75","807.57","1,55,73,233","12,57,65,11,030.35","3,08,424","77,00,716","49.45"
"TATAMOTORS","EQ","10-Dec-2024","798.75","804.80","810.45","797.45","801.00","799.90","803.15","1,31,13,082","10,53,18,11,972.20","2,34,736","56,47,753","43.07"
"TATAMOTORS","EQ","11-Dec-2024","799.90","802.90","806.95","798.20","799.45","799.10","802.54","77,63,357","6,23,03,91,478.45","1,59,000","38,94,646","50.17"
"TATAMOTORS","EQ","12-Dec-2024","799.10","799.20","802.00","785.50","787.00","786.35","789.09","1,06,02,758","8,36,65,47,282.55","2,84,424","46,73,957","44.08"
"TATAMOTORS","EQ","13-Dec-2024","786.35","789.00","792.50","775.00","790.70","790.30","784.90","1,41,01,869","11,06,86,20,355.75","3,54,253","62,62,468","44.41"
"TATAMOTORS","EQ","16-Dec-2024","790.30","791.40","793.95","783.00","785.30","784.80","786.38","1,00,15,361","7,87,58,43,805.30","1,99,508","53,81,177","53.73"
"TATAMOTORS","EQ","17-Dec-2024","784.80","785.50","796.35","778.00","779.90","779.75","786.01","1,02,70,253","8,07,24,87,554.55","2,29,057","39,13,494","38.11"
"TATAMOTORS","EQ","18-Dec-2024","779.75","774.00","774.25","754.00","757.00","755.70","761.07","1,90,85,263","14,52,52,65,872.00","5,08,261","90,96,431","47.66"
"TATAMOTORS","EQ","19-Dec-2024","755.70","744.45","755.80","741.40","745.75","744.05","746.59","1,71,19,599","12,78,13,07,371.65","3,77,991","94,70,360","55.32"
"TATAMOTORS","EQ","20-Dec-2024","744.05","744.30","749.55","721.50","724.30","724.05","732.88","1,79,62,656","13,16,44,23,074.60","4,14,949","85,27,846","47.48"
"TATAMOTORS","EQ","23-Dec-2024","724.05","733.70","734.40","717.70","721.50","722.20","726.35","96,53,868","7,01,20,91,746.00","2,93,999","30,35,170","31.44"
"TATAMOTORS","EQ","24-Dec-2024","722.20","723.50","745.30","722.50","735.10","736.10","736.40","1,25,53,555","9,24,43,95,622.15","2,66,530","32,67,668","26.03"
"TATAMOTORS","EQ","26-Dec-2024","736.10","736.10","747.80","735.55","741.50","740.80","741.74","93,43,210","6,93,02,28,321.90","2,35,149","29,56,945","31.65"
"TATAMOTORS","EQ","27-Dec-2024","740.80","749.00","766.85","745.70","754.00","750.50","756.69","1,58,35,079","11,98,23,00,186.70","3,16,642","32,49,272","20.52"
"TATAMOTORS","EQ","30-Dec-2024","750.50","753.90","754.90","730.70","735.25","733.65","738.19","1,74,41,198","12,87,48,56,448.75","2,76,286","1,04,51,435","59.92"
"TATAMOTORS","EQ","31-Dec-2024","733.65","733.65","743.40","732.75","741.80","740.15","738.63","70,92,699","5,23,88,65,078.95","1,76,250","22,91,072","32.30"
"TATAMOTORS","EQ","01-Jan-2025","740.15","740.45","751.10","736.00","749.85","749.25","744.36","77,92,251","5,80,02,28,118.15","1,70,318","26,87,348","34.49"
"TATAMOTORS","EQ","02-Jan-2025","749.25","759.30","767.35","749.35","764.85","765.05","757.34","1,52,94,572","11,58,31,98,011.40","3,06,615","50,06,038","32.73"
"TATAMOTORS","EQ","03-Jan-2025","765.05","768.00","800.60","761.45","789.00","790.40","786.86","2,47,73,025","19,49,27,97,930.80","4,57,866","62,26,220","25.13"
"TATAMOTORS","EQ","06-Jan-2025","790.40","797.70","797.70","765.30","776.00","776.25","783.03","1,69,48,151","13,27,09,05,837.25","3,58,878","55,41,848","32.70"
"TATAMOTORS","EQ","07-Jan-2025","776.25","776.00","796.95","772.50","792.50","793.25","787.61","1,55,47,971","12,24,56,78,232.50","3,14,304","54,21,719","34.87"
"TATAMOTORS","EQ","08-Jan-2025","793.25","792.60","797.00","781.65","795.50","794.95","789.86","1,18,61,066","9,36,86,07,134.30","2,55,679","43,21,148","36.43"
"TATAMOTORS","EQ","09-Jan-2025","794.95","800.00","810.00","769.45","781.40","780.10","784.85","1,79,48,464","14,08,69,40,933.35","3,66,805","55,60,219","30.98"
"TATAMOTORS","EQ","10-Jan-2025","780.10","780.05","787.95","766.80","776.50","774.65","778.29","1,11,44,005","8,67,32,68,253.45","2,74,052","23,69,387","21.26"
"TATAMOTORS","EQ","13-Jan-2025","774.65","769.00","773.55","748.80","750.60","751.00","760.91","1,22,30,175","9,30,61,20,971.50","3,05,264","43,43,305","35.51"
"TATAMOTORS","EQ","14-Jan-2025","751.00","751.50","779.00","751.50","772.30","770.50","772.37","1,13,77,053","8,78,72,40,473.25","2,77,895","33,04,819","29.05"
"TATAMOTORS","EQ","15-Jan-2025","770.50","771.00","785.00","756.05","763.00","763.60","766.16","1,05,00,910","8,04,54,21,842.20","2,49,215","34,68,381","33.03"
"TATAMOTORS","EQ","16-Jan-2025","763.60","769.90","781.00","767.35","775.45","774.35","775.08","86,80,163","6,72,77,85,831.25","1,91,171","34,06,764","39.25"
"TATAMOTORS","EQ","17-Jan-2025","774.35","773.90","785.50","772.25","779.90","779.75","779.92","70,07,239","5,46,50,86,692.60","1,46,024","27,39,348","39.09"
"TATAMOTORS","EQ","20-Jan-2025","779.75","780.00","783.00","767.00","773.95","774.35","774.11","99,56,101","7,70,71,54,628.95","1,79,913","48,73,913","48.95"
"TATAMOTORS","EQ","21-Jan-2025","774.35","775.00","786.65","758.40","761.00","760.75","770.74","1,16,57,178","8,98,46,60,555.80","2,85,590","30,76,408","26.39"
"TATAMOTORS","EQ","22-Jan-2025","760.75","764.15","765.45","731.00","744.35","742.75","742.63","1,24,18,474","9,22,23,25,023.80","3,57,913","42,42,139","34.16"
"TATAMOTORS","EQ","23-Jan-2025","742.75","742.75","759.70","739.80","753.00","752.50","751.71","79,16,689","5,95,10,70,317.85","2,02,401","16,78,740","21.21"
"TATAMOTORS","EQ","24-Jan-2025","752.50","750.05","754.15","732.20","733.40","734.10","740.71","95,13,166","7,04,64,64,980.20","2,11,930","30,37,042","31.92"
"TATAMOTORS","EQ","27-Jan-2025","734.10","732.95","732.95","709.30","713.00","713.05","718.46","1,41,23,990","10,14,74,95,359.60","3,35,720","67,28,139","47.64"
"TATAMOTORS","EQ","28-Jan-2025","713.05","716.50","740.85","707.50","731.90","728.25","724.61","1,61,04,653","11,66,95,90,702.95","3,20,748","51,99,232","32.28"
"TATAMOTORS","EQ","29-Jan-2025","728.25","731.50","755.00","726.55","754.80","752.50","742.52","1,24,61,404","9,25,28,84,619.50","2,62,830","29,98,102","24.06"
"TATAMOTORS","EQ","30-Jan-2025","752.50","709.00","710.70","683.20","699.95","696.85","698.51","5,93,90,998","41,48,53,71,859.15","10,94,810","2,24,52,528","37.80"
"TATAMOTORS","EQ","31-Jan-2025","696.85","706.00","717.00","696.45","715.70","716.10","707.31","1,91,57,717","13,55,03,96,657.95","3,40,074","59,98,967","31.31"
"TATAMOTORS","EQ","01-Feb-2025","716.10","719.50","724.75","700.90","705.90","706.55","711.99","1,40,87,493","10,03,02,02,387.80","2,97,568","37,31,804","26.49"
"TATAMOTORS","EQ","03-Feb-2025","706.55","700.00","700.00","686.00","687.65","687.45","689.57","1,78,06,760","12,27,89,28,075.05","4,94,904","75,76,286","42.55"
"TATAMOTORS","EQ","04-Feb-2025","687.45","696.30","713.35","693.75","709.55","710.55","706.45","1,67,92,005","11,86,26,52,772.55","2,92,952","57,88,845","34.47"
"TATAMOTORS","EQ","05-Feb-2025","710.55","711.00","725.45","710.70","716.95","717.05","719.30","1,29,07,325","9,28,41,96,893.55","2,41,395","40,35,661","31.27"
"TATAMOTORS","EQ","06-Feb-2025","717.05","723.00","723.40","708.15","710.90","709.65","713.94","1,00,16,927","7,15,15,03,773.75","1,91,132","37,21,717","37.15"
"TATAMOTORS","EQ","07-Feb-2025","709.65","711.00","715.95","703.10","706.75","706.75","709.53","1,22,59,132","8,69,81,83,953.95","2,68,831","49,76,228","40.59"
"TATAMOTORS","EQ","10-Feb-2025","706.75","709.75","709.90","693.05","695.60","696.00","697.76","1,09,81,963","7,66,27,88,415.90","2,38,395","53,29,383","48.53"
"TATAMOTORS","EQ","11-Feb-2025","696.00","696.00","697.00","675.10","677.40","677.75","682.24","1,19,39,990","8,14,59,08,253.10","3,80,683","47,85,252","40.08"
"TATAMOTORS","EQ","12-Feb-2025","677.75","680.00","687.55","667.05","684.70","684.35","678.94","1,23,12,424","8,35,93,68,147.55","3,03,029","32,45,735","26.36"
"TATAMOTORS","EQ","13-Feb-2025","684.35","684.35","693.15","679.35","683.00","683.85","686.73","84,90,769","5,83,08,29,633.65","2,05,281","22,37,285","26.35"
"TATAMOTORS","EQ","14-Feb-2025","683.85","685.95","690.95","669.15","678.90","680.65","678.82","99,68,127","6,76,65,24,593.40","2,35,954","38,10,762","38.23"
